id;entity_type;entity_id;payload;status;retry_count;created_at_utc;last_attempt_utc
51;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718670126_28.601499_77.416662;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6014985,"longitude":77.4166619,"accuracy":15.0649995803833,"speed":12.869999885559082,"timestamp_utc":"2026-02-10T10:17:50.126531Z"};FAILED;1;2026-02-10T10:17:50.136123Z;
52;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718680130_28.600982_77.415161;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6009817,"longitude":77.4151613,"accuracy":20.941999435424805,"speed":18.1200008392334,"timestamp_utc":"2026-02-10T10:18:00.130397Z"};FAILED;1;2026-02-10T10:18:00.143424Z;
53;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718690124_28.600603_77.413671;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6006028,"longitude":77.4136707,"accuracy":14.383000373840332,"speed":15.819999694824219,"timestamp_utc":"2026-02-10T10:18:10.124795Z"};FAILED;1;2026-02-10T10:18:10.132652Z;
54;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718700110_28.600279_77.412457;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6002789,"longitude":77.4124569,"accuracy":8.20300006866455,"speed":12.1899995803833,"timestamp_utc":"2026-02-10T10:18:20.110085Z"};FAILED;1;2026-02-10T10:18:20.124471Z;
55;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718710119_28.599988_77.411129;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5999884,"longitude":77.4111294,"accuracy":14.8100004196167,"speed":15.4399995803833,"timestamp_utc":"2026-02-10T10:18:30.119838Z"};FAILED;1;2026-02-10T10:18:30.134708Z;
56;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718719129_28.599763_77.409915;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5997634,"longitude":77.4099151,"accuracy":6.7829999923706055,"speed":12.0,"timestamp_utc":"2026-02-10T10:18:39.129913Z"};FAILED;1;2026-02-10T10:18:39.143894Z;
57;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718729128_28.599478_77.408545;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5994781,"longitude":77.4085454,"accuracy":10.378999710083008,"speed":15.239999771118164,"timestamp_utc":"2026-02-10T10:18:49.128554Z"};FAILED;1;2026-02-10T10:18:49.141430Z;
58;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718740115_28.599121_77.406519;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5991212,"longitude":77.4065186,"accuracy":10.880999565124512,"speed":19.530000686645508,"timestamp_utc":"2026-02-10T10:19:00.115737Z"};FAILED;1;2026-02-10T10:19:00.133339Z;
59;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718750113_28.598689_77.404855;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5986886,"longitude":77.404855,"accuracy":11.652000427246094,"speed":16.81999969482422,"timestamp_utc":"2026-02-10T10:19:10.113541Z"};FAILED;1;2026-02-10T10:19:10.141828Z;
60;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718760121_28.598292_77.403036;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5982923,"longitude":77.4030361,"accuracy":14.67199993133545,"speed":18.530000686645508,"timestamp_utc":"2026-02-10T10:19:20.121375Z"};FAILED;1;2026-02-10T10:19:20.137094Z;
